mac_address,time_scanned,rssi,payload
0f:db:2e:56:00:ad,00:00:00.801,-23,02011a0bff4c00090603f664408fb7
46:fb:41:3c:8c:b2,00:00:00.847,-23,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:00.993,-25,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:01.007,-25,02011a0bff4c001006411dc2416328020a00
46:fb:41:3c:8c:b2,00:00:01.088,-23,02011a0bff4c001006411dc2416328
7c:93:f3:ce:ac:93,00:00:01.282,-25,02011a0bff4c001006411dc2416328020a00
0f:db:2e:56:00:ad,00:00:01.363,-23,02011a0bff4c00090603f664408fb7
46:fb:41:3c:8c:b2,00:00:01.365,-23,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:01.560,-24,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:01.575,-24,02011a0bff4c001006411dc2416328020a00
7c:93:f3:ce:ac:93,00:00:01.831,-23,02011a0bff4c001006411dc2416328020a00
0f:db:2e:56:00:ad,00:00:01.919,-24,02011a0bff4c00090603f664408fb7
46:fb:41:3c:8c:b2,00:00:01.923,-25,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:02.102,-24,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:02.106,-23,02011a0bff4c001006411dc2416328020a00
f1:e5:15:9d:3a:b8,00:00:02.172,-24,07ff4c0012020000
46:fb:41:3c:8c:b2,00:00:02.233,-25,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:02.284,-23,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:02.376,-23,02011a0bff4c001006411dc2416328020a00
0f:db:2e:56:00:ad,00:00:02.481,-24,02011a0bff4c00090603f664408fb7
46:fb:41:3c:8c:b2,00:00:02.518,-25,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:02.655,-23,02011a0bff4c00090603f664408fb7
46:fb:41:3c:8c:b2,00:00:02.760,-24,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:02.847,-24,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:02.947,-22,02011a0bff4c001006411dc2416328020a00
0f:db:2e:56:00:ad,00:00:03.024,-23,02011a0bff4c00090603f664408fb7
46:fb:41:3c:8c:b2,00:00:03.052,-24,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:03.211,-23,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:03.219,-22,02011a0bff4c001006411dc2416328020a00
46:fb:41:3c:8c:b2,00:00:03.328,-23,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:03.428,-24,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:03.493,-22,02011a0bff4c001006411dc2416328020a00
0f:db:2e:56:00:ad,00:00:03.596,-24,02011a0bff4c00090603f664408fb7
46:fb:41:3c:8c:b2,00:00:03.612,-23,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:03.762,-23,02011a0bff4c00090603f664408fb7
7c:93:f3:ce:ac:93,00:00:03.840,-22,02011a0bff4c001006411dc2416328020a00
46:fb:41:3c:8c:b2,00:00:03.868,-23,02011a0bff4c001006411dc2416328
7c:93:f3:ce:ac:93,00:00:04.045,-24,02011a0bff4c001006411dc2416328020a00
46:fb:41:3c:8c:b2,00:00:04.139,-22,02011a0bff4c001006411dc2416328
0f:db:2e:56:00:ad,00:00:04.140,-23,02011a0bff4c00090603f664408fb7
f1:e5:15:9d:3a:b8,00:00:04.166,-23,07ff4c0012020000
7c:93:f3:ce:ac:93,00:00:04.315,-24,02011a0bff4c001006411dc2416328020a00
